Author,Work
Plutarch,"Of the Tranquillity of the Mind."
Plutarch,"On the Principle of Cold "
Plutarch,Otho
Plutarch,"Parallels, or a comparison between the Greek and Roman  Histories."
Plutarch,Pelopidas
Plutarch,Pericles
Plutarch,Philopoemen
Plutarch,Phocion
Plutarch,"Plutarch's Consolatory Letter to His Wife"
Plutarch,"Plutarch's Natural Questions"
Plutarch,"Plutarch's Platonic questions"
Plutarch,"Plutarch's Rules for the Preservation of Health"
Plutarch,"Political Precepts"
Plutarch,Pompey
Plutarch,Publicola
Plutarch,Pyrrhus
Plutarch,"Roman Questions"
Plutarch,Romulus
Plutarch,"Sayings of Spartan Women"
Plutarch,Sertorius
Plutarch,Solon
Plutarch,Sulla
Plutarch,"That Virtue May Be Taught"
Plutarch,"That a Philosopher Ought Chiefly to Converse with Great Men"
Plutarch,"That brute beasts make use of reason"
Plutarch,"That it is Not Possible to Live Pleasurably According to the Doctrine of Epicurus"
Plutarch,"The Ancient Customs of the Spartans"
Plutarch,"The Banquet of the Seven Wise Men"
Plutarch,"The apophthegms or remarkable sayings of kings and great
            commanders."
Plutarch,"The contradictions of the Stoics"
Plutarch,Themistocles
Plutarch,Theseus
Plutarch,"Tiberius and Caius Gracchus"
Plutarch,Timoleon
Plutarch,"Titus Flamininus"
Plutarch,"Wherefore the Pythian Priestess now Ceases to Deliver her Oracles in Verse"
Plutarch,"Whether 'Twere Rightly Said, Live Concealed."
Plutarch,"Whether an Aged Man Ought to Meddle in State Affairs."
Plutarch,"Whether the Athenians Were More Renowned For Their Warlike Achievements or For Their Learning"
Plutarch,"Whether the Passions of the Soul or Diseases of the Body Are Worse"
Plutarch,"Whether vice is sufficient to render a man unhappy"
Plutarch,"Whether water or fire be most useful."
Plutarch,"Which are the most crafty, water-animals or those creatures that breed upon the land?"
Plutarch,"Why the Oracles Cease to Give Answers"
Sophocles,Ajax
Sophocles,Antigone
Sophocles,Electra
Sophocles,"Oedipus Tyrannus"
Sophocles,"Oedipus at Colonus"
Sophocles,Philoctetes
Sophocles,Trachiniae
Sophocles,"Tracking Satyrs"
Xenophon," Hellenica"
Xenophon,Agesilaus
Xenophon,Anabasis
Xenophon,Apology
Xenophon,"Constitution of the Lacedaimonians"
Xenophon,Cyropaedia
Xenophon,Economics
Xenophon,Hiero
Xenophon,Memorabilia
Xenophon,"On Hunting"
Xenophon,"On the Cavalry Commander"
Xenophon,"Ways and Means"
