section,line_number,transliteration,translation
5,12,{{gap}}{{gap}}i{{gap}}? -ak-ta,
5,13,i -{{gap}}{{gap}}- di {{gap}}i-ši?,
5,14,ši-iz-ba {{gap}}ša na-ma- áš- te -e,Milk of the cattle
5,15,i-te- {{gap}}en- {{gap}}{{gap}}ni-   iḳ,he drank.
5,16,ka-i̭ā-na i-na  libbi  Uruk-(ki) kak-ki-a-tum,Continually in the midst of Erech weapons
5,17,id-lu-tum u-te-el-li- {{gap}}lu,the heroes purified.
5,18,ša-ki-in {{gap}}ip-ša-   {{gap}}nu,A project was instituted.
5,19,a-na idli ša i-tu-ru {{gap}}zi-mu-šu,"Unto the hero whose countenance was turned away,"
5,20,a-na iluGilgamiš ki-ma {{gap}}i-li-im,unto Gilgamish like a god
5,21,ša-ki-iš-šum me-iḫ-rum,he became for him a fellow.
5,22,a-na ilatIš-ḫa-ra ma-i̭ā-lum,For Išhara a couch
5,23,na- {{gap}} di -i- {{gap}}ma,was laid.
5,24,iluGilgamish id- na-an,Gilgamish ...................
5,25,i-na mu-ši in-ni- {{gap}}- id,In the night he ..............
5,26,i-na-ak-ša-am- {{gap}}ma,embracing her in sleep.
5,27,it-ta- i-na zûki,They ........ in the street
5,28,ip-ta-ra- ku -ak-tām,halting at the ................
5,29,ša {{gap}}iluGilgamish,of Gilgamish.
5,29,........... da-na  ni-iš-šu,.......... mightily(?)
6,1,ur- ḫa .....................,A road(?) ....................
6,2,iluGilgamiš ................,Gilgamish ...................
6,3,i-na ṣi-ri ....................,in the plain ..................
6,4,i-ḫa-an-ni-ib  pi-ir-ta-šu?,his hair growing thickly like the corn.
6,5,it-bi-ma {{gap}}.......,He came forth ...
6,6,a-na {{gap}}pa-ni- {{gap}}šu,into his presence.
6,7,it-tam-ḫa-ru i-na ri-bi-tu ma-ti,They met in the wide park of the land.
6,8,iluEn-ki-dû ba-ba-am ip-ta-ri-ik,Enkidu held fast the door
6,9,i-na {{gap}}ši-pi-šu,"with his foot,"
6,10,iluGilgamiš e-ri-ba-am u-ul id-di-in,and permitted not Gilgamish to enter.
6,11,iṣ-ṣa-ab-tu-ma ki-ma li-i-im,They grappled with each other
6,12,i- {{gap}}{{gap}}lu- {{gap}}{{gap}}du,goring like an ox.
6,13,zi-ip-pa-am {{gap}}’i-bu- {{gap}}tu,The threshold they destroyed.
6,14,i-ga-rum {{gap}}ir-tu-tū,The wall they demolished.
6,15,iluGilgamiš ù iluEn-ki- {{gap}} dû,Gilgamish and Enkidu
6,16,iṣ-ṣa-ab-tu-ù- {{gap}}{{gap}}ma,"grappled with each other,"
6,17,ki-ma li-i-im i-lu-du,goring like an ox.
6,18,zi-ip-pa-am {{gap}}{{gap}}’i-bu- tu,The threshold they destroyed.
6,19,i-ga-rum {{gap}}{{gap}}ir-tu-tū,The wall they demolished.
6,20,ik-mi-is-ma {{gap}}iluGilgamiš,Gilgamish bowed
6,21,i-na ga-ga-ag-ga-ri {{gap}}ši-ip-šu,to the ground at his feet
6,22,ip-ši-iḫ {{gap}}uṣ-ṣa-šu- {{gap}}ma,and his javelin reposed.
6,23,i-ni-’i {{gap}}{{gap}}i-ra-az-zu,He turned back his breast.
6,24,iš-tu i-ra-zu {{gap}}i-ni-ḫu,"After he had turned back his breast,"
6,25,iluEn-ki-dû a-na ša-ši-im,Enkidu unto that one
6,26,iz-za-kar-am a-na iluGilgamiš,"spoke, even unto Gilgamish."
6,27,ki-ma iš-te-en-ma um-ma-ka,“Even as one did thy mother
6,28,ú-{{gap}}li- {{gap}}id- {{gap}}ka,"bear thee,"
6,29,ri-im-tum ša {{gap}}zu- pu-ri,"she the wild cow of the cattle stalls,"
6,30,ilatNin- {{gap}}sun- {{gap}}{{gap}}na,"Ninsunna,"
6,31,ul-lu e-li mu-ti ri-eš-su,whose head she exalted more than a husband.
6,32,šar-ru-tam {{gap}}{{gap}}ša ni-ši,Royal power over the people
6,33,i-ši-im-kum {{gap}}{{gap}}iluEn-lil,Enlil has decreed for thee.”
