word,status,sources,author,work,language
Εὐρυσθεὺς,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Εὐρυσθῆος,morphology_only,wiktionary,Homer,Iliad,greek
Εὐρύπυλʼ,no_entry,,Homer,Iliad,greek
Εὐρύπυλον,morphology_only,,Homer,Iliad,greek
Εὐρύπυλος,morphology_only,,Homer,Iliad,greek
Εὐρύτου,morphology_only,,Homer,Iliad,greek
Εὐφήτης,no_entry,,Homer,Iliad,greek
Εὐχήνωρ,no_entry,,Homer,Iliad,greek
Εὔδωρον,morphology_only,,Homer,Iliad,greek
Εὔδωρος,morphology_only,,Homer,Iliad,greek
Εὔμηλος,morphology_only,,Homer,Iliad,greek
Εὔνηος,no_entry,,Homer,Iliad,greek
Εὔτρησίν,no_entry,,Homer,Iliad,greek
Εὔφημος,morphology_only,,Homer,Iliad,greek
Εὔφορβον,no_entry,,Homer,Iliad,greek
Εὔφορβος,no_entry,,Homer,Iliad,greek
Ζάκυνθον,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Ζέλειαν,no_entry,,Homer,Iliad,greek
Ζελείης,no_entry,,Homer,Iliad,greek
Θάλπιος,no_entry,,Homer,Iliad,greek
Θάμυριν,no_entry,,Homer,Iliad,greek
Θέσπειαν,no_entry,,Homer,Iliad,greek
Θέστορα,no_entry,,Homer,Iliad,greek
Θίσβην,morphology_only,,Homer,Iliad,greek
Θαλυσιάδην,no_entry,,Homer,Iliad,greek
Θαυμακίην,no_entry,,Homer,Iliad,greek
Θεανὼ,no_entry,,Homer,Iliad,greek
Θερσίλοχόν,no_entry,,Homer,Iliad,greek
Θεστορίδην,no_entry,,Homer,Iliad,greek
Θεστορίδης,no_entry,,Homer,Iliad,greek
Θοώτην,no_entry,,Homer,Iliad,greek
Θρασίον,no_entry,,Homer,Iliad,greek
Θρασύμηλον,morphology_only,,Homer,Iliad,greek
Θρυόεσσα,no_entry,,Homer,Iliad,greek
Θρόνιον,morphology_only,,Homer,Iliad,greek
Θρύον,morphology_only,,Homer,Iliad,greek
Θρῄκεσσι,no_entry,,Homer,Iliad,greek
Θυέστῃ,no_entry,,Homer,Iliad,greek
Θυμβραῖον,no_entry,,Homer,Iliad,greek
Θυμοίτην,no_entry,,Homer,Iliad,greek
Θόαντά,no_entry,,Homer,Iliad,greek
Θόαντα,no_entry,,Homer,Iliad,greek
Θόαντι,no_entry,,Homer,Iliad,greek
Θόαντος,no_entry,,Homer,Iliad,greek
Θόωνά,no_entry,,Homer,Iliad,greek
Θόωνα,no_entry,,Homer,Iliad,greek
Θύμβρης,no_entry,,Homer,Iliad,greek
Κάμειρον,morphology_only,,Homer,Iliad,greek
Κάπυν,no_entry,,Homer,Iliad,greek
Κάρυστον,morphology_only,,Homer,Iliad,greek
Κάσον,morphology_only,,Homer,Iliad,greek
Κήρ,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Κήρινθόν,morphology_only,,Homer,Iliad,greek
Κίλλαν,no_entry,,Homer,Iliad,greek
Καβησόθεν,no_entry,,Homer,Iliad,greek
Καινέα,no_entry,,Homer,Iliad,greek
Καινεΐδαο,no_entry,,Homer,Iliad,greek
Καλήσιον,no_entry,,Homer,Iliad,greek
Καλητορίδην,no_entry,,Homer,Iliad,greek
Καλλίαρόν,morphology_only,,Homer,Iliad,greek
Καλλιάνασσα,no_entry,,Homer,Iliad,greek
Καλλιάνειρα,no_entry,,Homer,Iliad,greek
Καλυδῶνά,no_entry,,Homer,Iliad,greek
Καλυδῶνα,no_entry,,Homer,Iliad,greek
Καλυδῶνι,no_entry,,Homer,Iliad,greek
Καλυδῶνος,no_entry,,Homer,Iliad,greek
Καλύδνας,morphology_only,,Homer,Iliad,greek
Καπανήϊον,no_entry,,Homer,Iliad,greek
Καπανήϊος,no_entry,,Homer,Iliad,greek
Καπανηϊάδη,no_entry,,Homer,Iliad,greek
Καπανῆος,no_entry,,Homer,Iliad,greek
Καρδαμύλην,no_entry,,Homer,Iliad,greek
Κασσάνδρη,no_entry,,Homer,Iliad,greek
Κασσάνδρην,no_entry,,Homer,Iliad,greek
Καστιάνειρα,no_entry,,Homer,Iliad,greek
Καύκωνες,no_entry,,Homer,Iliad,greek
Κεάδαο,no_entry,,Homer,Iliad,greek
Κεβριόναο,morphology_only,wiktionary,Homer,Iliad,greek
Κεβριόνην,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Κεβριόνης,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Κεβριόνῃ,morphology_only,wiktionary,Homer,Iliad,greek
Κελάδοντι,no_entry,,Homer,Iliad,greek
Κηφισίδι,no_entry,,Homer,Iliad,greek
Κικόνων,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Κινύρης,no_entry,,Homer,Iliad,greek
Κισσηῒς,no_entry,,Homer,Iliad,greek
Κισσῆς,no_entry,,Homer,Iliad,greek
Κλεοπάτρῃ,no_entry,,Homer,Iliad,greek
Κλεωνάς,no_entry,,Homer,Iliad,greek
Κλεόβουλον,morphology_only,,Homer,Iliad,greek
Κλονίον,no_entry,,Homer,Iliad,greek
Κλονίος,no_entry,,Homer,Iliad,greek
Κλυμένη,no_entry,,Homer,Iliad,greek
Κλυτίδην,no_entry,,Homer,Iliad,greek
Κλυτίοιο,no_entry,,Homer,Iliad,greek
Κλυτίον,no_entry,,Homer,Iliad,greek
Κλυταιμνήστρης,no_entry,,Homer,Iliad,greek
Κλυτομήδεα,no_entry,,Homer,Iliad,greek
Κνωσόν,no_entry,,Homer,Iliad,greek
Κνωσῷ,no_entry,,Homer,Iliad,greek
Κοπρῆος,no_entry,,Homer,Iliad,greek
Κορώνειαν,no_entry,,Homer,Iliad,greek
Κουρήτεσσι,no_entry,,Homer,Iliad,greek
Κουρήτων,no_entry,,Homer,Iliad,greek
Κρήθων,no_entry,,Homer,Iliad,greek
Κρήθωνά,no_entry,,Homer,Iliad,greek
Κρειοντιάδην,no_entry,,Homer,Iliad,greek
Κροίσμου,no_entry,,Homer,Iliad,greek
Κροκύλειʼ,no_entry,,Homer,Iliad,greek
Κτεάτου,no_entry,,Homer,Iliad,greek
Κυπαρισσήεντα,no_entry,,Homer,Iliad,greek
Κόωνι,no_entry,,Homer,Iliad,greek
Κύτωρον,morphology_only,,Homer,Iliad,greek
Κύφου,morphology_only,,Homer,Iliad,greek
Κῦνόν,morphology_only,,Homer,Iliad,greek
Λέλεγας,no_entry,,Homer,Iliad,greek
Λέλεγες,no_entry,,Homer,Iliad,greek
