word,status,sources,author,work,language
Πελίης,no_entry,,Homer,Odyssey,greek
Περίβοια,no_entry,,Homer,Odyssey,greek
Περικλύμενόν,morphology_only,,Homer,Odyssey,greek
Περιμήδης,no_entry,,Homer,Odyssey,greek
Περσεφονείης,no_entry,,Homer,Odyssey,greek
Περσεφονείῃ,no_entry,,Homer,Odyssey,greek
Περσεφόνεια,morphology_only,,Homer,Odyssey,greek
Πηληϊάδαο,no_entry,,Homer,Odyssey,greek
Πηρὼ,no_entry,,Homer,Odyssey,greek
Πλαγκτὰς,no_entry,,Homer,Odyssey,greek
Ποιάντιον,no_entry,,Homer,Odyssey,greek
Πολυθερσεΐδη,no_entry,,Homer,Odyssey,greek
Πολυκάστη,no_entry,,Homer,Odyssey,greek
Πολυκτορίδαο,no_entry,,Homer,Odyssey,greek
Πολυκτορίδης,no_entry,,Homer,Odyssey,greek
Πολυνήου,no_entry,,Homer,Odyssey,greek
Πολυφείδεά,no_entry,,Homer,Odyssey,greek
Πολυφείδεα,no_entry,,Homer,Odyssey,greek
Πολύβοιο,morphology_only,wiktionary,Homer,Odyssey,greek
Πολύβου,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Πολύδαμνα,no_entry,,Homer,Odyssey,greek
Πολύκτωρ,no_entry,,Homer,Odyssey,greek
Πολύφημʼ,no_entry,,Homer,Odyssey,greek
Ποντεύς,no_entry,,Homer,Odyssey,greek
Ποντόνοε,no_entry,,Homer,Odyssey,greek
Ποντόνοος,no_entry,,Homer,Odyssey,greek
Πρωτέος,no_entry,,Homer,Odyssey,greek
Πρωτεὺς,no_entry,,Homer,Odyssey,greek
Πρόκριν,no_entry,,Homer,Odyssey,greek
Πόλυβον,morphology_only,wiktionary,Homer,Odyssey,greek
Πόλυβος,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Πόλυβός,morphology_only,wiktionary,Homer,Odyssey,greek
Σάμης,no_entry,,Homer,Odyssey,greek
Σαλμωνῆος,no_entry,,Homer,Odyssey,greek
Σιδονίην,no_entry,,Homer,Odyssey,greek
Σιδονίους,no_entry,,Homer,Odyssey,greek
Σολύμων,no_entry,,Homer,Odyssey,greek
Τάφιοι,morphology_only,,Homer,Odyssey,greek
Τένεδον,morphology_only,,Homer,Odyssey,greek
Τήλεμος,no_entry,,Homer,Odyssey,greek
Ταφίοισι,no_entry,,Homer,Odyssey,greek
Ταφίοισιν,no_entry,,Homer,Odyssey,greek
Τειρεσίαο,morphology_only,wiktionary,Homer,Odyssey,greek
Τειρεσίη,no_entry,,Homer,Odyssey,greek
Τειρεσίῃ,no_entry,,Homer,Odyssey,greek
Τεκτονίδαο,no_entry,,Homer,Odyssey,greek
Τεμέσην,morphology_only,,Homer,Odyssey,greek
Τηλέμαχʼ,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Τηλέμαχε,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Τηλέμαχον,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Τηλέμαχος,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Τηλέμαχόν,morphology_only,wiktionary,Homer,Odyssey,greek
Τηλέμαχός,morphology_only,wiktionary,Homer,Odyssey,greek
Τηλέπυλον,morphology_only,,Homer,Odyssey,greek
Τηλεμάχοιο,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Τηλεμάχου,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
