Author,Work
"Catenae (Novum Testamentum)","Catena in epistulam Petri ii (catena Andreae) (e cod. Oxon. coll. nov. 58) "
"Catenae (Novum Testamentum)","Commentarius In Apocalypsin"
"Catenae (Novum Testamentum)","Commentarius In Apocalypsin (Pseudo-Oecumenii) (E Cod. Coislin.)"
"Catenae (Novum Testamentum)","Prooemium Pseudo-Oecumenii In Apocalypsin Commentarii (E Cod.)"
"Catenae (Novum Testamentum)","Supplementum Et Varietas Lectionis Ad Catenam In Evangelium Sancti Joannis (e cod. Bodl. B.)"
"Catenae (Novum Testamentum)","Supplementum et varietas lectionis ad catenam in evangelium sancti Lucae (e cod. Oxon. Bodl. Laud. 33)"
"Catenae (Novum Testamentum)","Supplementum et varietas lectionis ad commentarium Chrysostomi in evangelium sancti Matthaei (e cod. Oxon. Bodl. Auct. T.1.4)"
Catullus,Carmina
Cebes,"Cebetis tabula"
"Celsus, Aulus Cornelius","De Medicina"
"Certamen Homeri et Hesiodi","Certamen Homeri et Hesiodi"
"Chariton of Aphrodisias","De Chaerea et Callirhoe"
"Chionis Epistulae",Epistulae
"Chronicon Paschale","Chronicon Paschale"
Chrysippus,"Fragmenta  Moralia"
Chrysippus,"Fragmenta Logica et Physica"
Chrysippus,"Fragmenta ad singulos libros relata"
Chrysippus,"Fragmenta quae ad explicationem carminum Homericorum pertinent "
"Cicero, Marcus Tullius",Academica
"Cicero, Marcus Tullius","Against Vatinius"
"Cicero, Marcus Tullius",Brutus
"Cicero, Marcus Tullius","Cum Senatui gratias egit"
"Cicero, Marcus Tullius","Cum populo gratias egit"
"Cicero, Marcus Tullius","De Amicitia"
"Cicero, Marcus Tullius","De Divinatione"
"Cicero, Marcus Tullius","De Fato"
"Cicero, Marcus Tullius","De Imperio Cn. Pompei Ad Quirites"
"Cicero, Marcus Tullius","De Inventione"
"Cicero, Marcus Tullius","De Lege Agraria"
"Cicero, Marcus Tullius","De Officiis"
"Cicero, Marcus Tullius","De Optimo Genere Oratorum"
"Cicero, Marcus Tullius","De Republica"
"Cicero, Marcus Tullius","De Senectute"
"Cicero, Marcus Tullius","De domo sua ad pontifices"
"Cicero, Marcus Tullius","De haruspicum responso in P. Clodium"
"Cicero, Marcus Tullius","De provinciis consularibus"
"Cicero, Marcus Tullius","Divinatio in Q. Caecilium"
"Cicero, Marcus Tullius","In C. Verrem"
"Cicero, Marcus Tullius","In Catilinam"
"Cicero, Marcus Tullius","In L. Calpurnium Pisonem"
"Cicero, Marcus Tullius","Letters to Atticus"
"Cicero, Marcus Tullius","Letters to Brutus"
"Cicero, Marcus Tullius","Letters to his Friends"
"Cicero, Marcus Tullius","Letters to his brother Quintus"
"Cicero, Marcus Tullius",Lucullus
"Cicero, Marcus Tullius","On Oratory"
"Cicero, Marcus Tullius",Orator
"Cicero, Marcus Tullius","Paradoxa Stoicorum"
"Cicero, Marcus Tullius","Partitiones Oratoriae"
"Cicero, Marcus Tullius",Philippicae
"Cicero, Marcus Tullius","Pro A. Caecina"
"Cicero, Marcus Tullius","Pro A. Cluentio"
"Cicero, Marcus Tullius","Pro Archia Poeta"
"Cicero, Marcus Tullius","Pro C. Rabirio Perduellionis Reo Ad Quirites"
"Cicero, Marcus Tullius","Pro C. Rabirio Postumo"
"Cicero, Marcus Tullius","Pro Cn. Plancio"
"Cicero, Marcus Tullius","Pro Fonteio"
"Cicero, Marcus Tullius","Pro L. Cornelio Balbos"
"Cicero, Marcus Tullius","Pro L. Flacco"
