"Author","Work","WorkID"
"Seneca, Lucius Annaeus","Medea","phi1017.phi004"
"Seneca, Lucius Annaeus","Octavia","phi1017.phi010"
"Seneca, Lucius Annaeus","Oedipus","phi1017.phi006"
"Seneca, Lucius Annaeus","Phaedra","phi1017.phi005"
"Seneca, Lucius Annaeus","Phoenissae","phi1017.phi003"
"Seneca, Lucius Annaeus","Thyestes","phi1017.phi008"
"Seneca, Lucius Annaeus","Troades Furens","phi1017.phi002"
"Silius Italicus, Tiberius Catius","Punica","phi1345.phi001"
"Statius, P. Papinius (Publius Papinius)","Achilleis","phi1020.phi003"
"Statius, P. Papinius (Publius Papinius)","Silvae","phi1020.phi002"
"Statius, P. Papinius (Publius Papinius)","Thebais","phi1020.phi001"
"Suetonius","Caligula","phi1348.abo014"
"Suetonius","Divus Augustus","phi1348.abo012"
"Suetonius","Divus Claudius","phi1348.abo015"
"Suetonius","Divus Julius","phi1348.abo011"
"Suetonius","Divus Titus","phi1348.abo021"
"Suetonius","Divus Vespasianus","phi1348.abo020"
"Suetonius","Domitianus","phi1348.abo022"
"Suetonius","Galba","phi1348.abo017"
"Suetonius","Nero","phi1348.abo016"
"Suetonius","Otho","phi1348.abo018"
"Suetonius","Tiberius","phi1348.abo013"
"Suetonius","Vitellius","phi1348.abo019"
"Tacitus, Cornelius","Agricola","phi1351.phi001"
"Tacitus, Cornelius","Annales","phi1351.phi005"
"Tacitus, Cornelius","Dialogus","phi1351.phi003"
"Tacitus, Cornelius","Germania","phi1351.phi002"
"Tacitus, Cornelius","Historiae","phi1351.phi004"
"Terence","Adelphi","phi0134.phi006"
"Terence","Andria","phi0134.phi001"
"Terence","Eunuchus","phi0134.phi003"
"Terence","Heautontimorumenos","phi0134.phi002"
"Terence","Hecyra","phi0134.phi005"
"Terence","Phormio","phi0134.phi004"
"Tibullus","Elegiae","phi0660.phi001"
"Tibullus","Sulpicia Elegiae","phi0660.phi003"
"Titus Livius (Livy)","Ab urbe condita","phi0914.phi001"
"Valerius Flaccus, Gaius","Argonautica","phi1035.phi001"
"Valerius Maximus","Facta et Dicta Memorabilia","phi1038.phi001"
"Vitruvius Pollio","On Architecture","phi1056.phi001"
